자산 결합 강도 TXT 리포트
================================
생성 시각: 2025. 10. 30. 0시 18분 12초
데이터 기준일: 2025-10-28
윈도우: 30일 | 표시 범위: 180일 | 레짐 모드: FFL+EXP
※ 결합 강도는 시장이 얼마나 동조화되어 있는지를 알려주는 맥락 지표이며, 실제 Risk-On/Off 판단은 모멘텀·Guard·Safe-NEG가 결합된 레짐 점수가 담당합니다. 값이 높을수록 자금이 한 방향으로 쏠린 것이므로 Guard·히트맵을 함께 확인하세요.

[범위 요약]
- 표본 구간: 2025-02-11 ~ 2025-10-28 (180일)
- 사용자 선택: 시작 미지정 ~ 종료 미지정

[0. 산출 로직 및 근거]
- Stability Index = Σ w(i,j)·|corr(i,j)| ÷ Σ w(i,j), 대상 자산: IWM, SPY, TLT, GLD, BTC-USD, 주식-채권 쌍에 더 큰 가중을 적용합니다.
- 하위 지수: (a) 주식-암호화폐(+) = |corr(IWM/SPY, BTC)| 평균, (b) 전통자산(+) = |corr(IWM, SPY, TLT, GLD)| 평균, (c) Safe-NEG(-) = max(0, -corr(주식, TLT/GLD)) 평균.
- Classic Risk Score = 0.70·max(0, corr(IWM, BTC)) + 0.30·Safe-NEG. corr ≥ 0.50 또는 Score ≥ 0.65 → Risk-On, corr ≤ -0.05 또는 Score ≤ 0.30 → Risk-Off.
- Enhanced Mode = Classic Score + 10일 공동 모멘텀(IWM & BTC) + 5일 리스크 폭(IWM·SPY·BTC 상승비중) + Absorption/안정성 Guard. Guard ≥ 0.9 또는 Combo ≤ 0%면 On이 차단됩니다.
- FFL Mode = Classic 점수에 Safe↔Risk 플럭스(J_norm), Flux Intensity, FAR, Guard를 조합한 Classic+Flux 레짐입니다. 추가로 Fick의 제1법칙 관점에서 Diff(확산) = J_norm − 0.50·max(0, mmΔ) − 0.15·max(0, −ΔJ)와 시장 공통 모드 PC1 속도(v_PC1)를 함께 사용해, κ = |Diff| / (|Diff| + λ·|v_PC1|) 상대강도로 On/Off를 가중합니다. 동작: (1) On은 Diff ≥ 동적 문턱이며 κ와 PCON, v_PC1 양(+)을 만족(Strong-On은 1일 확인)하거나 RB_Flux ≥ 0.06 & Combo ≥ +0.10일 때 대안 경로로 통과합니다. (2) Off는 v_PC1 ≤ vOff 또는 Diff ≤ Off 문턱·κ 약세, 혹은 Absorption ≥ mmOff(Guard-only는 2~3일 확인)로 확정합니다.
- 기본 동작은 Classic이며 사용자가 명시적으로 변경한 경우에만 Enhanced/FFL이 적용됩니다.
- 히트맵과 Absorption Ratio는 30일 롤링 상관행렬·1차 고유값 비중으로 계산하며, 동일 데이터가 레짐 Guard에도 쓰입니다.
- 지수 추이 표는 신호 주지수(IWM)와 벤치마크(QQQ)의 종가/일간 수익률을 그대로 나열해 백테스트 결과를 재현할 수 있도록 합니다.

[1. 자산 결합 강도 (Stability Index)]
- 최신 Stability: 0.396 | Smoothed(EMA10): 0.372 | Delta(3-10): +0.027
- 180일 평균: 0.287 | 관측 범위: 2025-02-11 ~ 2025-10-28 (180일)
날짜	Stability	Smoothed	Delta(3-10)
2025-02-11	0.341	0.382	-0.045
2025-02-12	0.304	0.368	-0.047
2025-02-13	0.329	0.361	-0.036
2025-02-14	0.323	0.354	-0.030
2025-02-18	0.325	0.349	-0.024
2025-02-19	0.351	0.349	-0.011
2025-02-20	0.349	0.349	-0.006
2025-02-21	0.277	0.336	-0.026
2025-02-24	0.277	0.325	-0.032
2025-02-25	0.279	0.317	-0.031
2025-02-26	0.285	0.311	-0.025
2025-02-27	0.303	0.310	-0.015
2025-02-28	0.267	0.302	-0.021
2025-03-03	0.215	0.286	-0.038
2025-03-04	0.245	0.279	-0.032
2025-03-05	0.204	0.265	-0.040
2025-03-06	0.225	0.258	-0.033
2025-03-07	0.231	0.253	-0.025
2025-03-10	0.256	0.253	-0.012
2025-03-11	0.256	0.254	-0.005
2025-03-12	0.253	0.254	-0.003
2025-03-13	0.225	0.249	-0.011
2025-03-14	0.211	0.242	-0.017
2025-03-17	0.212	0.236	-0.018
2025-03-18	0.205	0.231	-0.019
2025-03-19	0.216	0.228	-0.014
2025-03-20	0.232	0.229	-0.006
2025-03-21	0.229	0.229	-0.003
2025-03-24	0.252	0.233	+0.006
2025-03-25	0.238	0.234	+0.005
2025-03-26	0.234	0.234	+0.002
2025-03-27	0.243	0.236	+0.004
2025-03-28	0.306	0.248	+0.025
2025-03-31	0.288	0.256	+0.025
2025-04-01	0.286	0.261	+0.022
2025-04-02	0.278	0.264	+0.016
2025-04-03	0.263	0.264	+0.008
2025-04-04	0.311	0.273	+0.019
2025-04-07	0.277	0.273	+0.011
2025-04-08	0.256	0.270	-0.000
2025-04-09	0.325	0.280	+0.018
2025-04-10	0.297	0.283	+0.014
2025-04-11	0.318	0.289	+0.018
2025-04-14	0.326	0.296	+0.021
2025-04-15	0.327	0.302	+0.020
2025-04-16	0.315	0.304	+0.014
2025-04-17	0.306	0.305	+0.008
2025-04-21	0.290	0.302	-0.001
2025-04-22	0.293	0.300	-0.003
2025-04-23	0.289	0.298	-0.005
2025-04-24	0.297	0.298	-0.003
2025-04-25	0.314	0.301	+0.004
2025-04-28	0.321	0.305	+0.008
2025-04-29	0.319	0.307	+0.009
2025-04-30	0.322	0.310	+0.009
2025-05-01	0.303	0.309	+0.002
2025-05-02	0.295	0.306	-0.003
2025-05-05	0.288	0.303	-0.007
2025-05-06	0.297	0.302	-0.005
2025-05-07	0.297	0.301	-0.004
2025-05-08	0.265	0.294	-0.014
2025-05-09	0.264	0.289	-0.016
2025-05-12	0.254	0.283	-0.019
2025-05-13	0.261	0.279	-0.017
2025-05-14	0.266	0.276	-0.012
2025-05-15	0.274	0.276	-0.007
2025-05-16	0.299	0.280	+0.004
2025-05-19	0.378	0.298	+0.033
2025-05-20	0.372	0.311	+0.040
2025-05-21	0.353	0.319	+0.033
2025-05-22	0.437	0.340	+0.054
2025-05-23	0.342	0.341	+0.028
2025-05-27	0.378	0.348	+0.026
2025-05-28	0.374	0.352	+0.021
2025-05-29	0.374	0.356	+0.018
2025-05-30	0.387	0.362	+0.018
2025-06-02	0.383	0.366	+0.016
2025-06-03	0.343	0.361	+0.001
2025-06-04	0.295	0.349	-0.021
2025-06-05	0.280	0.337	-0.033
2025-06-06	0.278	0.326	-0.035
2025-06-09	0.270	0.316	-0.035
2025-06-10	0.272	0.308	-0.032
2025-06-11	0.273	0.302	-0.027
2025-06-12	0.282	0.298	-0.020
2025-06-13	0.288	0.296	-0.013
2025-06-16	0.311	0.299	-0.002
2025-06-17	0.287	0.297	-0.005
2025-06-18	0.296	0.297	-0.002
2025-06-20	0.299	0.297	-0.000
2025-06-23	0.283	0.294	-0.005
2025-06-24	0.292	0.294	-0.003
2025-06-25	0.323	0.299	+0.008
2025-06-26	0.328	0.304	+0.013
2025-06-27	0.337	0.310	+0.017
2025-06-30	0.340	0.316	+0.018
2025-07-01	0.331	0.318	+0.014
2025-07-02	0.326	0.320	+0.009
2025-07-03	0.316	0.319	+0.003
2025-07-07	0.298	0.315	-0.005
2025-07-08	0.305	0.313	-0.006
2025-07-09	0.287	0.309	-0.011
2025-07-10	0.232	0.295	-0.030
2025-07-11	0.242	0.285	-0.032
2025-07-14	0.241	0.277	-0.030
2025-07-15	0.251	0.272	-0.023
2025-07-16	0.289	0.275	-0.006
2025-07-17	0.291	0.278	+0.002
2025-07-18	0.298	0.282	+0.007
2025-07-21	0.309	0.287	+0.012
2025-07-22	0.300	0.289	+0.010
2025-07-23	0.301	0.291	+0.009
2025-07-24	0.291	0.291	+0.004
2025-07-25	0.291	0.291	+0.002
2025-07-28	0.298	0.292	+0.003
2025-07-29	0.242	0.283	-0.014
2025-07-30	0.242	0.276	-0.020
2025-07-31	0.282	0.277	-0.008
2025-08-01	0.270	0.276	-0.006
2025-08-04	0.263	0.273	-0.007
2025-08-05	0.256	0.270	-0.009
2025-08-06	0.247	0.266	-0.012
2025-08-07	0.251	0.263	-0.011
2025-08-08	0.251	0.261	-0.009
2025-08-11	0.232	0.256	-0.014
2025-08-12	0.236	0.252	-0.013
2025-08-13	0.249	0.252	-0.008
2025-08-14	0.269	0.255	+0.002
2025-08-15	0.263	0.256	+0.004
2025-08-18	0.261	0.257	+0.003
2025-08-19	0.259	0.258	+0.002
2025-08-20	0.260	0.258	+0.002
2025-08-21	0.258	0.258	+0.001
2025-08-22	0.281	0.262	+0.008
2025-08-25	0.285	0.266	+0.011
2025-08-26	0.277	0.268	+0.009
2025-08-27	0.274	0.269	+0.006
2025-08-28	0.273	0.270	+0.004
2025-08-29	0.266	0.269	+0.001
2025-09-02	0.243	0.265	-0.008
2025-09-03	0.232	0.259	-0.014
2025-09-04	0.245	0.256	-0.011
2025-09-05	0.243	0.254	-0.010
2025-09-08	0.250	0.253	-0.006
2025-09-09	0.252	0.253	-0.004
2025-09-10	0.271	0.256	+0.004
2025-09-11	0.290	0.262	+0.013
2025-09-12	0.287	0.267	+0.014
2025-09-15	0.312	0.275	+0.022
2025-09-16	0.306	0.280	+0.021
2025-09-17	0.311	0.286	+0.020
2025-09-18	0.284	0.286	+0.009
2025-09-19	0.280	0.285	+0.003
2025-09-22	0.273	0.283	-0.002
2025-09-23	0.273	0.281	-0.004
2025-09-24	0.307	0.285	+0.006
