자산 결합 강도 TXT 리포트
================================
생성 시각: 2025. 10. 29. 23시 4분 0초
데이터 기준일: 2025-10-28
윈도우: 30일 | 표시 범위: 맞춤 2188일 | 레짐 모드: FFL+EXP
※ 결합 강도는 시장이 얼마나 동조화되어 있는지를 알려주는 맥락 지표이며, 실제 Risk-On/Off 판단은 모멘텀·Guard·Safe-NEG가 결합된 레짐 점수가 담당합니다. 값이 높을수록 자금이 한 방향으로 쏠린 것이므로 Guard·히트맵을 함께 확인하세요.

[범위 요약]
- 표본 구간: 2017-02-15 ~ 2025-10-28 (2188일)
- 사용자 선택: 시작 미지정 ~ 2025-10-28

[0. 산출 로직 및 근거]
- Stability Index = Σ w(i,j)·|corr(i,j)| ÷ Σ w(i,j), 대상 자산: IWM, SPY, TLT, GLD, BTC-USD, 주식-채권 쌍에 더 큰 가중을 적용합니다.
- 하위 지수: (a) 주식-암호화폐(+) = |corr(IWM/SPY, BTC)| 평균, (b) 전통자산(+) = |corr(IWM, SPY, TLT, GLD)| 평균, (c) Safe-NEG(-) = max(0, -corr(주식, TLT/GLD)) 평균.
- Classic Risk Score = 0.70·max(0, corr(IWM, BTC)) + 0.30·Safe-NEG. corr ≥ 0.50 또는 Score ≥ 0.65 → Risk-On, corr ≤ -0.05 또는 Score ≤ 0.30 → Risk-Off.
- Enhanced Mode = Classic Score + 10일 공동 모멘텀(IWM & BTC) + 5일 리스크 폭(IWM·SPY·BTC 상승비중) + Absorption/안정성 Guard. Guard ≥ 0.9 또는 Combo ≤ 0%면 On이 차단됩니다.
- FFL Mode = Classic 점수에 Safe↔Risk 플럭스(J_norm), Flux Intensity, FAR, Guard를 조합한 Classic+Flux 레짐입니다. 추가로 Fick의 제1법칙 관점에서 Diff(확산) = J_norm − 0.50·max(0, mmΔ) − 0.15·max(0, −ΔJ)와 시장 공통 모드 PC1 속도(v_PC1)를 함께 사용해, κ = |Diff| / (|Diff| + λ·|v_PC1|) 상대강도로 On/Off를 가중합니다. 동작: (1) On은 Diff ≥ 동적 문턱이며 κ와 PCON, v_PC1 양(+)을 만족(Strong-On은 1일 확인)하거나 RB_Flux ≥ 0.06 & Combo ≥ +0.10일 때 대안 경로로 통과합니다. (2) Off는 v_PC1 ≤ vOff 또는 Diff ≤ Off 문턱·κ 약세, 혹은 Absorption ≥ mmOff(Guard-only는 2~3일 확인)로 확정합니다.
- 기본 동작은 Classic이며 사용자가 명시적으로 변경한 경우에만 Enhanced/FFL이 적용됩니다.
- 히트맵과 Absorption Ratio는 30일 롤링 상관행렬·1차 고유값 비중으로 계산하며, 동일 데이터가 레짐 Guard에도 쓰입니다.
- 지수 추이 표는 신호 주지수(IWM)와 벤치마크(QQQ)의 종가/일간 수익률을 그대로 나열해 백테스트 결과를 재현할 수 있도록 합니다.

[1. 자산 결합 강도 (Stability Index)]
- 최신 Stability: 0.396 | Smoothed(EMA10): 0.372 | Delta(3-10): +0.027
- 180일 평균: 0.287 | 관측 범위: 2017-02-15 ~ 2025-10-28 (맞춤 2188일)
날짜	Stability	Smoothed	Delta(3-10)
2017-02-15	0.399	0.399	0.000
2017-02-16	0.435	0.406	+0.011
2017-02-17	0.467	0.417	+0.025
2017-02-21	0.456	0.424	+0.025
2017-02-22	0.444	0.428	+0.019
2017-02-23	0.459	0.433	+0.019
2017-02-24	0.501	0.445	+0.031
2017-02-27	0.509	0.457	+0.036
2017-02-28	0.499	0.465	+0.031
2017-03-01	0.434	0.459	+0.006
2017-03-02	0.372	0.443	-0.025
2017-03-03	0.393	0.434	-0.028
2017-03-06	0.371	0.423	-0.034
2017-03-07	0.337	0.407	-0.044
2017-03-08	0.324	0.392	-0.049
2017-03-09	0.302	0.376	-0.053
2017-03-10	0.280	0.358	-0.057
2017-03-13	0.265	0.341	-0.058
2017-03-14	0.296	0.333	-0.043
2017-03-15	0.280	0.323	-0.039
2017-03-16	0.276	0.315	-0.034
2017-03-17	0.276	0.308	-0.030
2017-03-20	0.276	0.302	-0.025
2017-03-21	0.268	0.296	-0.023
2017-03-22	0.267	0.291	-0.021
2017-03-23	0.272	0.287	-0.016
2017-03-24	0.272	0.284	-0.013
2017-03-27	0.263	0.281	-0.013
2017-03-28	0.271	0.279	-0.010
2017-03-29	0.264	0.276	-0.010
2017-03-30	0.257	0.272	-0.011
2017-03-31	0.254	0.269	-0.011
2017-04-03	0.262	0.268	-0.008
2017-04-04	0.265	0.267	-0.005
2017-04-05	0.266	0.267	-0.003
2017-04-06	0.257	0.265	-0.005
2017-04-07	0.260	0.264	-0.004
2017-04-10	0.257	0.263	-0.004
2017-04-11	0.251	0.261	-0.006
2017-04-12	0.213	0.252	-0.018
2017-04-13	0.205	0.244	-0.024
2017-04-17	0.212	0.238	-0.022
2017-04-18	0.226	0.236	-0.015
2017-04-19	0.239	0.236	-0.006
2017-04-20	0.258	0.240	+0.004
2017-04-21	0.266	0.245	+0.010
2017-04-24	0.291	0.253	+0.020
2017-04-25	0.328	0.267	+0.033
2017-04-26	0.335	0.279	+0.038
2017-04-27	0.431	0.307	+0.067
2017-04-28	0.436	0.330	+0.075
2017-05-01	0.432	0.349	+0.070
2017-05-02	0.432	0.364	+0.061
2017-05-03	0.390	0.369	+0.039
2017-05-04	0.389	0.372	+0.026
2017-05-05	0.386	0.375	+0.017
2017-05-08	0.366	0.373	+0.006
2017-05-09	0.384	0.375	+0.006
2017-05-10	0.381	0.376	+0.005
2017-05-11	0.383	0.377	+0.005
2017-05-12	0.406	0.383	+0.011
2017-05-15	0.403	0.386	+0.012
2017-05-16	0.418	0.392	+0.016
2017-05-17	0.462	0.405	+0.031
2017-05-18	0.460	0.415	+0.033
2017-05-19	0.440	0.420	+0.024
2017-05-22	0.447	0.425	+0.021
2017-05-23	0.458	0.431	+0.021
2017-05-24	0.474	0.438	+0.024
2017-05-25	0.445	0.440	+0.014
2017-05-26	0.434	0.439	+0.005
2017-05-30	0.432	0.437	+0.000
2017-05-31	0.439	0.438	+0.001
2017-06-01	0.439	0.438	+0.001
2017-06-02	0.409	0.433	-0.009
2017-06-05	0.393	0.425	-0.017
2017-06-06	0.376	0.416	-0.024
